ds,pagos_qr,monto,comercios,clientes,inflación,dólar,promoción,feriado
2024-02-09,19878,170158086,8744,17217,18.2,846.0,0,0
2024-02-10,23149,194450241,8869,17550,18.7,831.0,0,1
2024-02-11,23155,197837198,8870,18093,18.2,857.0,0,1
2024-02-12,21135,181435127,8966,17345,17.9,834.0,0,0
2024-02-13,20122,170896316,8882,17548,17.8,839.0,0,0
2024-02-14,21991,187567555,8746,17696,16.8,835.0,0,0
2024-02-15,25437,219829489,8263,17270,17.4,838.0,1,0
2024-02-16,20417,171865873,8798,17505,17.6,822.0,0,0
2024-02-17,24664,210882630,8995,18007,18.8,817.0,0,1
2024-02-18,24052,203845874,9073,18559,18.3,863.0,0,1
2024-02-19,23072,193384349,8868,18154,16.6,826.0,0,0
2024-02-20,23445,197883943,9179,18010,18.2,825.0,0,0
2024-02-21,21079,178046742,8436,17654,17.6,808.0,0,0
2024-02-22,24252,213522161,9390,18654,17.4,831.0,1,0
2024-02-23,22873,195599728,9143,18360,18.4,821.0,0,0
2024-02-24,26657,230707296,9012,17826,18.7,866.0,1,1
2024-02-25,24884,211195468,9273,18664,18.6,857.0,0,1
2024-02-26,22049,190872669,9324,18531,17.2,832.0,0,0
2024-02-27,20836,179854205,8791,17880,17.6,876.0,0,0
2024-02-28,22939,193602379,9126,18271,18.1,857.0,0,0
2024-02-29,22073,190785552,9153,18111,18.6,838.0,0,0
2024-03-01,22577,192549242,9885,19709,17.5,806.0,0,0
2024-03-02,28068,246055223,9422,18692,17.7,878.0,1,1
2024-03-03,27736,241252384,9091,18554,16.9,823.0,1,1
2024-03-04,25299,223233158,9247,18731,16.9,820.0,1,0
2024-03-05,27443,236806259,9494,19218,18.5,860.0,1,0
2024-03-06,21819,185832599,9205,18521,18.9,882.0,0,0
2024-03-07,21913,189560420,9422,18301,17.7,867.0,0,0
2024-03-08,23562,196346784,9455,19051,18.6,855.0,0,0
2024-03-09,24436,208469877,9058,18574,18.0,856.0,0,1
2024-03-10,22769,193609407,9188,18159,17.2,860.0,0,1
2024-03-11,21946,188769322,9316,18094,18.0,859.0,0,0
2024-03-12,23181,200030327,9509,19523,19.0,852.0,0,0
2024-03-13,23398,201193568,9823,18856,17.7,850.0,0,0
2024-03-14,25437,222544501,9346,18526,19.0,848.0,1,0
2024-03-15,22641,193367629,9574,18735,15.6,838.0,0,0
2024-03-16,27390,237974579,9937,19287,18.3,845.0,1,1
2024-03-17,24419,208805445,9578,18767,17.7,824.0,0,1
2024-03-18,25724,227422310,9087,18219,17.4,849.0,1,0
2024-03-19,22426,189795975,9812,19136,17.7,836.0,0,0
2024-03-20,23586,200510837,9854,19607,16.0,834.0,0,0
2024-03-21,25860,225512980,10020,19603,17.5,854.0,1,0
2024-03-22,24679,217646365,9631,18782,17.9,873.0,1,0
2024-03-23,28689,250169105,9644,19725,18.8,866.0,1,1
2024-03-24,25292,217777964,9771,19225,17.2,829.0,0,1
2024-03-25,25399,218797720,9847,19767,16.9,838.0,0,0
2024-03-26,23076,198197074,9758,19461,17.2,867.0,0,0
2024-03-27,22173,187181513,9246,18441,18.3,839.0,0,0
2024-03-28,28207,248932688,10068,20102,17.8,851.0,1,1
2024-03-29,28713,252748261,9945,19281,17.1,863.0,1,1
2024-03-30,25886,220998080,9512,19570,17.9,840.0,0,1
2024-03-31,25640,216033460,8974,18636,17.6,857.0,0,1
2024-04-01,24476,205761004,9406,19586,18.3,836.0,0,0
2024-04-02,24258,207548631,10169,19910,16.9,847.0,0,0
2024-04-03,24131,204570999,10021,20351,17.2,861.0,0,0
2024-04-04,24378,204611622,10081,20109,17.2,833.0,0,0
2024-04-05,23650,198730269,9832,19710,16.3,864.0,0,0
2024-04-06,28269,245203535,9165,18684,17.7,857.0,1,1
2024-04-07,29203,254481359,9943,19546,17.6,866.0,1,1
2024-04-08,25897,228797926,9578,19207,17.4,862.0,1,0
2024-04-09,22491,193020942,9774,19644,17.2,879.0,0,0
2024-04-10,23882,203095191,9517,18941,16.3,861.0,0,0
2024-04-11,23910,204847899,9877,19466,17.1,853.0,0,0
2024-04-12,23033,197223635,9476,19335,17.1,862.0,0,0
2024-04-13,25730,221052090,9845,19341,16.7,868.0,0,1
2024-04-14,25386,216562116,9973,19367,17.2,861.0,0,1
2024-04-15,27648,242942396,9509,19589,17.7,862.0,1,0
2024-04-16,22325,192262404,9966,19820,18.9,851.0,0,0
2024-04-17,21905,187209900,9163,18448,17.5,852.0,0,0
2024-04-18,23598,201185551,9404,18529,17.5,841.0,0,0
2024-04-19,27020,237398497,9540,19567,17.3,889.0,1,0
2024-04-20,27090,229682051,10154,19656,15.8,844.0,0,1
2024-04-21,27949,240406274,9612,19868,17.3,853.0,1,1
2024-04-22,24257,204012904,9665,19428,17.3,853.0,0,0
2024-04-23,24674,209014251,9994,19814,19.2,878.0,0,0
2024-04-24,25609,224855805,9808,19890,17.1,860.0,1,0
2024-04-25,23224,197442402,9570,19477,17.5,884.0,0,0
2024-04-26,24442,209021032,10228,20368,17.2,855.0,0,0
2024-04-27,27751,240762908,9999,19966,16.3,870.0,1,1
2024-04-28,29065,251931785,10084,20166,18.1,854.0,1,1
2024-04-29,27720,239468073,10143,19943,17.8,899.0,1,0
2024-04-30,24943,212680709,10409,20976,17.8,849.0,0,0
2024-05-01,29565,256824173,10182,20237,16.5,872.0,1,1
2024-05-02,23938,205175330,9753,19709,18.3,877.0,0,0
2024-05-03,24530,209954395,10019,20377,16.0,874.0,0,0
2024-05-04,24517,208866205,9524,19162,17.6,866.0,0,1
2024-05-05,26677,224609322,9927,20053,18.9,867.0,0,1
2024-05-06,23017,198655659,9993,20166,16.3,870.0,0,0
2024-05-07,24194,206345911,10275,20084,16.7,867.0,0,0
2024-05-08,25034,213833285,9881,19864,17.2,885.0,0,0
2024-05-09,23177,201109490,9636,19537,16.7,904.0,0,0
2024-05-10,26095,229486944,9835,19659,15.8,863.0,1,0
2024-05-11,29805,260086398,10079,20116,17.1,851.0,1,1
2024-05-12,28641,249313888,9522,19519,16.2,870.0,1,1
2024-05-13,25853,220638209,10426,20971,17.4,911.0,0,0
2024-05-14,22647,193839729,9320,18775,16.3,860.0,0,0
2024-05-15,22111,189654313,9937,19943,18.3,897.0,0,0
2024-05-16,25237,218835304,10230,20169,16.4,898.0,0,0
2024-05-17,26194,228460532,10215,20376,16.7,865.0,0,0
2024-05-18,29722,259100522,10082,19672,17.6,883.0,1,1
2024-05-19,24105,201484948,10350,20705,16.0,899.0,0,1
2024-05-20,23785,201138011,10079,19448,17.2,869.0,0,0
2024-05-21,26557,235229494,9842,19869,18.0,872.0,1,0
2024-05-22,26782,234951305,10081,20469,15.7,867.0,1,0
2024-05-23,25006,214264093,10452,20685,17.1,861.0,0,0
2024-05-24,23330,198838324,10007,19469,17.1,867.0,0,0
2024-05-25,28292,238961956,10474,21499,17.5,858.0,0,1
2024-05-26,28811,254127080,9827,19732,15.9,878.0,1,1
2024-05-27,22626,191540579,9643,19530,15.8,866.0,0,0
2024-05-28,24156,207665624,10249,20441,17.3,881.0,0,0
2024-05-29,26519,228665096,10012,20020,17.1,855.0,1,0
2024-05-30,22654,193012303,10244,19949,17.1,884.0,0,0
2024-05-31,26589,233884414,10227,20498,17.1,892.0,1,0
2024-06-01,28243,245416112,9994,19439,16.3,850.0,1,1
2024-06-02,26452,224990100,9614,19354,17.0,885.0,0,1
2024-06-03,23551,201103773,10139,19908,17.1,899.0,0,0
2024-06-04,27378,235903994,10420,20748,16.2,863.0,1,0
2024-06-05,26065,224410206,10312,19933,18.3,906.0,1,0
2024-06-06,25325,217578973,10210,21010,17.2,888.0,0,0
2024-06-07,26004,221060580,10173,20811,15.8,871.0,0,0
2024-06-08,28113,241254470,10542,20352,17.3,881.0,0,1
2024-06-09,29773,261197866,10043,20380,16.0,891.0,1,1
2024-06-10,24622,212568285,10042,20351,17.4,884.0,0,0
2024-06-11,24000,201648983,9969,20288,17.7,891.0,0,0
2024-06-12,23815,201901841,10242,20024,16.1,870.0,0,0
2024-06-13,24688,211810171,9789,20080,17.5,887.0,0,0
2024-06-14,23436,201175003,9838,19668,17.0,863.0,0,0
2024-06-15,27872,247293875,9494,19095,17.3,883.0,1,1
2024-06-16,29966,258767773,10582,20749,18.2,872.0,1,1
2024-06-17,26941,237209837,10023,20272,16.5,875.0,1,0
2024-06-18,24262,207876549,10180,20193,16.1,905.0,0,0
2024-06-19,22937,192587028,9958,20385,15.9,903.0,0,0
2024-06-20,29249,253416870,10338,19767,16.0,896.0,1,1
2024-06-21,25580,218826056,9790,19676,16.6,871.0,0,0
2024-06-22,25681,215762767,10016,20029,16.9,883.0,0,1
2024-06-23,30410,260243188,10756,20850,16.8,906.0,1,1
2024-06-24,27260,234078515,9670,19575,17.3,891.0,1,0
2024-06-25,23725,203104767,9753,18840,16.6,924.0,0,0
2024-06-26,26741,232224165,9861,19886,17.7,895.0,1,0
2024-06-27,23500,199403089,10490,20711,16.3,893.0,0,0
2024-06-28,23421,198792256,9518,19266,18.7,885.0,0,0
2024-06-29,25634,215932755,9496,19535,17.0,892.0,0,1
2024-06-30,29110,252411194,10207,20248,15.8,889.0,1,1
2024-07-01,25655,215328704,10824,21393,15.7,902.0,0,0
2024-07-02,26510,233616282,9447,19420,16.9,906.0,1,0
2024-07-03,23648,205272659,9635,19392,16.3,880.0,0,0
2024-07-04,24643,205685373,10365,20250,17.1,872.0,0,0
2024-07-05,24721,210055241,10457,20674,16.8,865.0,0,0
2024-07-06,29096,252408977,9795,19749,16.4,901.0,1,1
2024-07-07,27948,243086031,9500,19240,15.8,877.0,1,1
2024-07-08,24908,214583061,10518,20257,15.2,862.0,0,0
2024-07-09,28991,251391078,9879,20336,16.1,900.0,1,1
2024-07-10,28240,245795497,10442,20907,17.1,932.0,1,0
2024-07-11,23191,203976610,9874,20334,16.6,895.0,0,0
2024-07-12,24284,207099414,10467,20408,15.4,908.0,0,0
2024-07-13,26364,228523480,9924,19850,16.5,897.0,0,1
2024-07-14,26691,228772475,10631,21190,16.7,895.0,0,1
2024-07-15,23543,199918082,10432,19757,15.7,910.0,0,0
2024-07-16,24730,214656532,9700,19637,16.5,893.0,1,0
2024-07-17,26996,235352455,10767,20834,16.4,901.0,1,0
2024-07-18,22219,187511554,9511,19178,15.4,903.0,0,0
2024-07-19,22943,194175768,9442,18977,16.6,888.0,0,0
2024-07-20,26293,223558379,10501,19946,16.8,914.0,0,1
2024-07-21,25890,221547687,9903,19871,17.2,896.0,0,1
2024-07-22,23474,204068994,9597,19743,17.1,888.0,0,0
2024-07-23,24193,205578591,10225,20338,15.2,908.0,0,0
2024-07-24,23908,205028036,9651,19372,15.5,887.0,0,0
2024-07-25,24071,202248704,9994,19842,16.7,901.0,0,0
2024-07-26,23360,201581577,9780,19614,16.7,901.0,0,0
2024-07-27,29325,251737135,10109,19332,16.6,918.0,1,1
2024-07-28,27327,234785273,9976,19730,19.3,909.0,0,1
2024-07-29,23298,198773150,9870,20170,16.7,902.0,0,0
2024-07-30,25453,217024194,10418,20786,17.1,915.0,0,0
2024-07-31,26562,226100471,9839,19998,16.9,924.0,0,0
2024-08-01,22437,189023995,9168,18435,16.7,912.0,0,0
2024-08-02,23768,200435459,9645,19654,15.9,904.0,0,0
2024-08-03,28659,251158540,10261,19679,16.8,884.0,1,1
2024-08-04,26606,227063874,9914,20104,15.5,889.0,0,1
2024-08-05,24346,207225887,9993,19710,15.9,900.0,0,0
2024-08-06,26364,230876796,10048,20225,15.7,896.0,1,0
2024-08-07,23799,203397121,9656,19775,16.2,903.0,0,0
2024-08-08,22682,192118137,10209,20339,17.9,907.0,0,0
2024-08-09,23108,202253992,9740,19320,14.6,914.0,0,0
2024-08-10,24879,213859013,9908,19592,16.6,906.0,0,1
2024-08-11,26258,224362137,9432,19913,14.8,915.0,0,1
2024-08-12,21797,185156277,9350,19193,15.7,909.0,0,0
2024-08-13,22555,194501019,9724,19064,16.9,878.0,0,0
2024-08-14,23810,201703864,9377,19123,16.1,894.0,0,0
2024-08-15,22400,189563451,9562,19042,15.2,907.0,0,0
2024-08-16,22154,192586651,9577,19657,15.4,891.0,0,0
2024-08-17,27446,239271350,9375,18457,16.5,919.0,1,1
2024-08-18,23913,202666802,9473,18574,15.4,933.0,0,1
2024-08-19,24259,207141871,10277,20262,16.2,929.0,0,0
2024-08-20,22242,191665373,9680,18946,16.0,908.0,0,0
2024-08-21,27936,244632509,10006,19386,15.4,934.0,1,0
2024-08-22,21069,181949025,9025,18520,17.7,914.0,0,0
2024-08-23,25504,215191888,9487,19289,16.4,907.0,0,0
2024-08-24,24409,210277798,9609,18859,14.3,903.0,0,1
2024-08-25,24334,207388882,9433,18414,16.1,908.0,0,1
2024-08-26,23440,200325202,9786,19841,15.4,907.0,0,0
2024-08-27,23287,201274489,9722,19741,16.6,916.0,0,0
2024-08-28,22351,192304951,9406,19073,15.2,916.0,0,0
2024-08-29,24096,206432105,9480,19603,15.8,914.0,0,0
2024-08-30,23001,192461507,9761,20031,16.3,921.0,0,0
2024-08-31,28703,249817496,9467,19432,16.5,933.0,1,1
2024-09-01,26471,229364149,9577,19271,14.9,930.0,1,1
2024-09-02,23237,199830591,9608,19107,15.6,894.0,0,0
2024-09-03,23937,206324416,9741,19308,15.4,878.0,0,0
2024-09-04,24606,214477938,9287,18777,15.3,931.0,1,0
2024-09-05,23188,196660917,9301,18796,17.2,897.0,0,0
2024-09-06,23095,200334102,9592,19135,16.1,914.0,0,0
2024-09-07,25746,218534705,9025,18648,14.8,900.0,0,1
2024-09-08,26817,231446425,9530,18677,16.5,891.0,1,1
2024-09-09,24947,211311158,9675,18835,17.4,927.0,0,0
2024-09-10,21444,182094001,9568,19386,16.6,930.0,0,0
2024-09-11,21690,183553274,9030,18219,14.5,911.0,0,0
2024-09-12,21697,186996283,9819,19140,15.3,881.0,0,0
2024-09-13,24529,205012673,9541,19131,16.7,912.0,0,0
2024-09-14,27806,240511879,9669,19102,15.1,926.0,1,1
2024-09-15,23890,203869005,9122,18281,16.0,899.0,0,1
2024-09-16,24821,217322992,9217,17812,16.3,924.0,1,0
2024-09-17,22784,197968670,9555,18913,14.9,921.0,0,0
2024-09-18,22059,191522975,9460,18701,15.6,931.0,0,0
2024-09-19,21988,184620526,9655,19084,13.0,924.0,0,0
2024-09-20,22072,184703904,8991,18205,14.8,908.0,0,0
2024-09-21,28089,244747443,9362,18910,15.4,941.0,1,1
2024-09-22,25486,216205630,9669,19031,14.6,921.0,0,1
2024-09-23,23739,200321447,9240,18430,16.9,924.0,0,0
2024-09-24,23744,207766242,9094,18660,14.4,910.0,1,0
2024-09-25,25378,222092395,9683,18617,15.2,918.0,1,0
2024-09-26,22631,191597563,9190,17989,15.7,912.0,0,0
2024-09-27,22361,189743331,9328,18640,16.7,923.0,0,0
2024-09-28,26215,227255417,9525,19159,14.4,952.0,1,1
2024-09-29,26057,226567518,9206,18333,16.5,906.0,1,1
2024-09-30,24431,214649388,8886,17565,15.5,903.0,1,0
2024-10-01,21840,184433188,8556,17926,14.7,949.0,0,0
2024-10-02,21455,182010130,9099,17354,15.9,924.0,0,0
2024-10-03,22101,187977936,9273,18862,15.6,918.0,0,0
2024-10-04,22590,192945495,9286,18573,15.0,944.0,0,0
2024-10-05,22832,195543969,8964,17914,15.5,920.0,0,1
2024-10-06,26220,232911516,9114,17430,15.1,957.0,1,1
2024-10-07,21372,183746251,8830,17696,15.5,940.0,0,0
2024-10-08,20757,178549363,9202,17768,16.0,923.0,0,0
2024-10-09,23082,196626774,9139,18116,16.7,963.0,0,0
2024-10-10,23415,202989768,8844,18073,14.4,922.0,1,0
2024-10-11,22397,190260072,9367,18680,17.1,942.0,0,0
2024-10-12,25584,221979335,8795,17637,13.8,936.0,1,1
2024-10-13,24206,207486461,8385,17203,15.3,951.0,0,1
2024-10-14,21398,179536437,8748,17353,15.8,956.0,0,0
2024-10-15,24047,211517567,8951,17894,15.6,933.0,1,0
2024-10-16,20888,178235521,8869,17516,14.8,922.0,0,0
2024-10-17,22833,196487196,8893,17708,15.2,940.0,0,0
2024-10-18,20458,173369184,8671,17602,14.9,924.0,0,0
2024-10-19,25642,222118261,9303,18298,14.8,964.0,1,1
2024-10-20,23307,198233163,8617,17484,16.0,937.0,0,1
2024-10-21,24421,212647201,8162,17564,15.6,930.0,1,0
2024-10-22,22330,192355697,9069,18086,14.7,938.0,0,0
2024-10-23,21534,185548610,8599,17420,16.0,916.0,0,0
2024-10-24,22976,200028046,9021,17889,15.5,922.0,0,0
2024-10-25,20103,170839516,9309,17818,15.9,955.0,0,0
2024-10-26,22368,184359899,9255,17698,15.7,927.0,0,1
2024-10-27,26064,226647155,8484,17035,14.6,922.0,1,1
2024-10-28,21042,180264316,8931,18193,14.8,946.0,0,0
2024-10-29,21327,183664561,9449,18664,15.8,956.0,0,0
2024-10-30,22627,193885709,8692,17533,15.7,949.0,0,0
2024-10-31,19178,162974445,8569,16982,15.2,954.0,0,0
2024-11-01,20806,181207329,8615,17495,15.3,928.0,0,0
2024-11-02,23587,199340028,9026,17952,16.2,918.0,0,1
2024-11-03,26694,232312710,8400,17125,14.7,963.0,1,1
2024-11-04,19413,163786680,8909,17345,15.6,936.0,0,0
2024-11-05,21493,183666654,8660,17556,15.0,937.0,0,0
2024-11-06,20939,182120512,9114,17963,14.9,961.0,0,0
2024-11-07,21868,186546148,8610,17726,16.0,950.0,0,0
2024-11-08,20638,176102400,9018,17724,15.8,949.0,0,0
2024-11-09,23850,200308076,8346,17079,15.7,975.0,0,1
2024-11-10,25338,220732016,8788,17471,16.1,933.0,1,1
2024-11-11,18389,159564474,8648,16886,15.1,957.0,0,0
2024-11-12,20640,175883528,8784,17647,15.6,944.0,0,0
2024-11-13,21219,180673920,8683,17778,14.8,948.0,0,0
2024-11-14,21911,189421929,8828,17457,15.3,967.0,0,0
2024-11-15,19458,165717872,8319,16975,14.9,952.0,0,0
2024-11-16,24546,217178107,8437,17035,15.1,953.0,1,1
2024-11-17,27486,237023721,9062,18018,15.5,962.0,1,1
2024-11-18,24296,213812708,8731,16918,14.3,941.0,1,1
2024-11-19,24068,213804658,8804,17598,16.6,934.0,1,0
2024-11-20,23631,208810214,8615,17221,14.2,931.0,1,0
2024-11-21,20503,171458953,8580,16864,14.0,918.0,0,0
2024-11-22,19104,162085394,8179,16338,15.9,978.0,0,0
2024-11-23,21867,186316597,8675,17096,15.6,931.0,0,1
2024-11-24,22782,196611911,8724,17016,15.4,945.0,0,1
2024-11-25,20803,175107264,8861,17854,15.4,945.0,0,0
2024-11-26,18809,158792627,7595,16501,14.9,954.0,0,0
2024-11-27,22749,191118197,8866,18059,14.2,962.0,0,0
2024-11-28,20985,177683899,8783,17082,14.9,963.0,0,0
2024-11-29,24983,215794287,8524,17062,14.3,942.0,1,0
2024-11-30,25592,226675812,8211,16558,15.6,948.0,1,1
2024-12-01,24474,212689245,8730,16994,14.7,955.0,1,1
2024-12-02,20638,177752851,8507,17055,14.2,948.0,0,0
2024-12-03,20008,171079939,8216,17269,14.6,976.0,0,0
2024-12-04,21326,187238923,7845,16293,15.1,960.0,1,0
2024-12-05,20701,175739612,8818,17469,14.3,964.0,0,0
2024-12-06,21196,182669045,8451,16929,14.1,963.0,0,0
2024-12-07,22759,194731188,8808,17035,15.0,971.0,0,1
2024-12-08,20908,178868488,8155,16604,15.0,957.0,0,1
2024-12-09,19188,162846159,8055,16234,14.3,935.0,0,0
2024-12-10,20045,170483948,8183,16719,14.4,961.0,0,0
2024-12-11,18855,162390322,8276,16760,14.9,945.0,0,0
2024-12-12,19815,169834611,7601,15958,13.6,947.0,0,0
2024-12-13,20352,174203945,8439,17032,13.6,965.0,0,0
2024-12-14,24528,212954915,8549,17119,14.1,975.0,1,1
2024-12-15,20427,178474715,8093,16241,14.5,957.0,0,1
2024-12-16,23274,202831587,8470,16081,14.9,962.0,1,0
2024-12-17,19505,166714995,8580,16426,15.8,983.0,0,0
2024-12-18,20940,178576933,8138,16576,15.3,961.0,0,0
2024-12-19,21060,183916422,7801,16419,14.5,997.0,0,0
2024-12-20,20723,176530871,8234,16507,14.6,967.0,0,0
2024-12-21,24628,214505316,8393,16635,13.8,932.0,1,1
2024-12-22,19092,163489622,7742,15828,14.6,971.0,0,1
2024-12-23,19394,164426918,7774,15873,14.4,965.0,0,0
2024-12-24,22924,201056199,7880,15127,14.8,979.0,1,0
2024-12-25,22406,196165207,8422,16948,13.9,971.0,0,1
2024-12-26,18272,156870391,8369,16473,15.0,959.0,0,0
2024-12-27,19928,170857492,8303,16978,15.8,943.0,0,0
2024-12-28,23999,208514690,7926,15875,14.5,959.0,1,1
2024-12-29,23952,212959414,8156,16446,14.9,949.0,1,1
2024-12-30,17881,156820565,8130,16531,15.1,954.0,0,0
2024-12-31,19379,167398861,8298,16133,14.2,972.0,0,0
2025-01-01,20224,174199666,7536,15628,14.7,988.0,0,1
2025-01-02,22238,189523469,8695,17269,14.5,970.0,0,0
2025-01-03,20680,177508675,8472,17087,14.6,946.0,0,0
2025-01-04,24898,215933685,8177,16188,13.9,971.0,1,1
2025-01-05,24954,215839772,8245,16626,14.5,983.0,1,1
2025-01-06,19516,163867280,8234,16121,14.8,956.0,0,0
2025-01-07,17805,153127848,7742,15859,15.6,964.0,0,0
2025-01-08,19980,168039251,8863,17263,15.2,966.0,0,0
2025-01-09,19586,166436729,7752,15516,16.1,955.0,0,0
2025-01-10,19698,168286541,7831,16194,13.8,976.0,0,0
2025-01-11,21426,185076581,8323,16374,15.1,965.0,0,1
2025-01-12,23069,195904060,8536,17152,14.5,974.0,0,1
2025-01-13,20623,178477045,8043,16769,16.1,955.0,0,0
2025-01-14,20265,175092818,7806,15480,13.7,962.0,0,0
2025-01-15,22802,197654383,8357,16311,13.7,980.0,1,0
2025-01-16,18829,163255151,8416,16319,13.9,963.0,0,0
2025-01-17,19435,165625338,8019,16190,12.6,995.0,0,0
2025-01-18,25516,221852098,8335,16611,13.9,964.0,1,1
2025-01-19,24607,214574793,7807,15594,13.7,974.0,1,1
2025-01-20,18117,154972489,8344,16092,14.4,985.0,0,0
2025-01-21,20138,171292911,8104,16533,14.6,950.0,0,0
2025-01-22,19335,163613117,8223,16632,15.8,945.0,0,0
2025-01-23,22281,193834989,8016,16366,15.0,949.0,1,0
2025-01-24,23151,203052386,7783,16146,13.8,991.0,1,0
2025-01-25,25168,219571073,8164,16229,13.5,964.0,1,1
2025-01-26,21549,185232119,8650,16659,14.6,1011.0,0,1
2025-01-27,19537,167134226,8113,16306,13.2,965.0,0,0
2025-01-28,18592,159163028,7708,15769,15.7,977.0,0,0
2025-01-29,21222,182569624,7874,15674,15.1,997.0,0,0
2025-01-30,21980,195672836,7891,15547,13.8,1005.0,1,0
2025-01-31,19855,172691545,8480,17022,12.8,1006.0,0,0
2025-02-01,26197,231348313,8631,16700,15.2,993.0,1,1
2025-02-02,25679,226003398,7960,16245,14.1,991.0,1,1
2025-02-03,20821,182134321,7980,16074,15.1,985.0,0,0
2025-02-04,20991,180287148,8068,16018,12.9,988.0,0,0
2025-02-05,20889,179176592,8506,16855,13.6,969.0,0,0
2025-02-06,20533,179983343,8641,17264,14.1,965.0,0,0
2025-02-07,19153,158326562,7751,16014,14.1,978.0,0,0
2025-02-08,25133,219178707,8913,16891,13.7,976.0,1,1
2025-02-09,24383,215732491,8123,16341,14.6,972.0,1,1
2025-02-10,20562,177726526,8135,16226,13.2,989.0,0,0
2025-02-11,20608,181293303,8668,17090,13.9,994.0,0,0
2025-02-12,20482,175292971,8042,16339,14.1,981.0,0,0
2025-02-13,20441,173888865,8261,16500,14.4,1002.0,0,0
2025-02-14,18997,161773331,8106,16483,14.6,963.0,0,0
2025-02-15,19388,166412136,7860,15553,13.1,978.0,0,1
2025-02-16,23929,212609795,8204,16518,12.8,970.0,1,1
2025-02-17,19075,166359782,8104,16101,15.0,954.0,0,0
2025-02-18,19022,162555971,7631,15680,14.2,981.0,0,0
2025-02-19,18950,162562017,7905,16142,13.4,981.0,0,0
2025-02-20,20039,170113297,7800,16147,15.2,1005.0,0,0
2025-02-21,22999,200470069,8325,16935,14.0,993.0,1,0
2025-02-22,21380,184790514,7434,15898,14.9,968.0,0,1
2025-02-23,21450,186541423,7962,16046,14.0,1012.0,0,1
2025-02-24,21371,181261933,8178,16569,15.6,1003.0,0,0
2025-02-25,18279,156850413,7930,15800,15.3,993.0,0,0
2025-02-26,21239,181027344,8081,16145,13.7,982.0,0,0
2025-02-27,18408,159166743,8079,15655,14.7,971.0,0,0
2025-02-28,19378,164915968,8999,16960,14.4,980.0,0,0
2025-03-01,21561,180418590,8409,16362,15.0,1003.0,0,1
2025-03-02,24515,211399881,8168,16518,13.1,1015.0,0,1
2025-03-03,21215,180730533,8400,16998,14.4,1010.0,0,0
2025-03-04,20012,170683113,8270,16193,14.7,980.0,0,0
2025-03-05,23429,205988676,7870,16413,12.4,971.0,1,0
2025-03-06,18751,161079167,7965,16056,12.9,990.0,0,0
2025-03-07,19641,168822743,7987,16070,12.2,962.0,0,0
2025-03-08,21487,180374034,8194,16155,13.6,994.0,0,1
2025-03-09,23208,199367618,8315,16385,14.3,987.0,0,1
